docker exec -u coshow -e HOME=/home/coshow coshow-m7-install-test python3 /source/dashboard/tests/analyze_stage.py /home/coshow/COSHOW/dashboard/logs/m7_stage_final.jsonl
states=1059 completed_runs=1
received_at	monotonic_s	event_t	kind	detail
2026-09-13T03:08:16.559+00:00	67112.268120825	None	run	LANDING
2026-09-13T03:08:16.559+00:00	67112.268120825	1789268836.6021848	event	cmd:preflight accepted
2026-09-13T03:08:16.559+00:00	67112.268120825	1789268896.4044807	safety	cmd:reset accepted
2026-09-13T03:08:24.961+00:00	67120.669860143	None	run	IDLE
2026-09-13T03:08:25.061+00:00	67120.770291191	None	run	CHECKING
2026-09-13T03:08:25.061+00:00	67120.770291191	1789268904.9614851	event	cmd:preflight accepted
2026-09-13T03:08:31.061+00:00	67126.770163568	None	run	READY
2026-09-13T03:08:31.161+00:00	67126.870077202	None	phase	observe
2026-09-13T03:08:31.161+00:00	67126.870077202	None	run	RUNNING
2026-09-13T03:08:31.161+00:00	67126.870077202	1789268911.0627978	event	cmd:start accepted
2026-09-13T03:08:53.159+00:00	67146.875337055	None	phase	handover
2026-09-13T03:09:00.160+00:00	67155.870092585	None	phase	search
2026-09-13T03:09:16.160+00:00	67171.869591218	None	phase	capture
2026-09-13T03:09:21.164+00:00	67176.87343124	None	phase	rescue_dispatch
2026-09-13T03:09:29.161+00:00	67184.870426134	None	phase	rescue
2026-09-13T03:09:39.165+00:00	67194.874800363	None	phase	return
2026-09-13T03:10:01.161+00:00	67216.870688059	None	phase	done
2026-09-13T03:10:01.161+00:00	67216.870688059	None	run	DONE
RESET_TO_READY_SECONDS [6.100303425002494]
Rehearsal acceptance requires operator confirmation of landing, LIMO stop, and core-file absence.
